,ticker,Date,Posible_compra
33723,SJM,2019-12-15,Sí
33724,SJM,2020-03-16,Sí
33725,SJM,2020-06-14,No
33726,SJM,2020-09-14,Sí
33727,SJM,2020-12-15,No
33728,SJM,2021-03-17,No
33729,SJM,2021-06-14,No
33730,SJM,2021-09-14,No
33731,SJM,2021-12-15,No
33732,SJM,2022-03-17,No
33733,SJM,2022-06-14,No
33734,SJM,2022-09-14,No
33735,SJM,2022-12-15,No
33736,SLB,2000-05-15,No
33737,SLB,2000-08-14,No
33738,SLB,2000-11-14,No
33739,SLB,2001-02-14,No
33740,SLB,2001-05-15,No
33741,SLB,2001-08-14,No
33742,SLB,2001-11-14,No
33743,SLB,2002-02-14,Sí
33744,SLB,2002-05-15,No
33745,SLB,2002-08-14,No
33746,SLB,2002-11-14,No
33747,SLB,2003-02-14,No
33748,SLB,2003-05-15,No
33749,SLB,2003-08-14,No
33750,SLB,2003-11-14,No
33751,SLB,2004-02-14,No
33752,SLB,2004-05-15,No
33753,SLB,2004-08-14,No
33754,SLB,2004-11-14,No
33755,SLB,2005-02-14,No
33756,SLB,2005-05-15,No
33757,SLB,2005-08-14,No
33758,SLB,2005-11-14,No
33759,SLB,2006-02-14,No
33760,SLB,2006-05-15,No
33761,SLB,2006-08-14,No
33762,SLB,2006-11-14,No
33763,SLB,2007-02-14,Sí
33764,SLB,2007-05-15,Sí
33765,SLB,2007-08-14,No
33766,SLB,2007-11-14,No
33767,SLB,2008-02-14,No
33768,SLB,2008-05-15,Sí
33769,SLB,2008-08-14,Sí
33770,SLB,2008-11-14,No
33771,SLB,2009-02-14,Sí
33772,SLB,2009-05-15,Sí
33773,SLB,2009-08-14,Sí
33774,SLB,2009-11-14,Sí
33775,SLB,2010-02-14,Sí
33776,SLB,2010-05-15,Sí
33777,SLB,2010-08-14,Sí
33778,SLB,2010-11-14,Sí
33779,SLB,2011-02-14,No
33780,SLB,2011-05-15,No
33781,SLB,2011-08-14,No
33782,SLB,2011-11-14,Sí
33783,SLB,2012-02-14,Sí
33784,SLB,2012-05-15,Sí
33785,SLB,2012-08-14,Sí
33786,SLB,2012-11-14,Sí
33787,SLB,2013-02-14,Sí
33788,SLB,2013-05-15,No
33789,SLB,2013-08-14,Sí
33790,SLB,2013-11-14,No
33791,SLB,2014-02-14,No
33792,SLB,2014-05-15,No
33793,SLB,2014-08-14,No
33794,SLB,2014-11-14,No
33795,SLB,2015-02-14,No
33796,SLB,2015-05-15,No
33797,SLB,2015-08-14,No
33798,SLB,2015-11-14,No
33799,SLB,2016-02-14,Sí
33800,SLB,2016-05-15,Sí
33801,SLB,2016-08-14,Sí
33802,SLB,2016-11-14,No
33803,SLB,2017-02-14,No
33804,SLB,2017-05-15,No
33805,SLB,2017-08-14,No
33806,SLB,2017-11-14,No
33807,SLB,2018-02-14,No
33808,SLB,2018-05-15,No
33809,SLB,2018-08-14,Sí
33810,SLB,2018-11-14,Sí
33811,SLB,2019-02-14,No
33812,SLB,2019-05-15,Sí
33813,SLB,2019-08-14,Sí
33814,SLB,2019-11-14,Sí
33815,SLB,2020-02-14,No
33816,SLB,2020-05-15,Sí
33817,SLB,2020-08-14,No
33818,SLB,2020-11-14,No
33819,SLB,2021-02-14,No
33820,SLB,2021-05-15,No
33821,SLB,2021-08-14,No
33822,SLB,2021-11-14,No
33823,SLB,2022-02-14,No
33824,SLB,2022-05-15,No
33825,SLB,2022-08-14,No
33826,SLB,2022-11-14,Sí
33827,SLB,2023-02-14,No
33828,SNA,2000-02-15,No
33829,SNA,2000-05-16,No
33830,SNA,2000-08-15,No
33831,SNA,2000-11-14,No
33832,SNA,2001-02-13,No
33833,SNA,2001-05-15,No
33834,SNA,2001-08-14,No
33835,SNA,2001-11-13,Sí
33836,SNA,2002-02-12,No
33837,SNA,2002-05-14,No
33838,SNA,2002-08-13,No
33839,SNA,2002-11-12,No
33840,SNA,2003-02-11,No
33841,SNA,2003-05-13,No
33842,SNA,2003-08-12,No
33843,SNA,2003-11-11,Sí
33844,SNA,2004-02-17,Sí
33845,SNA,2004-05-18,No
33846,SNA,2004-08-17,No
33847,SNA,2004-11-16,Sí
33848,SNA,2005-02-15,Sí
33849,SNA,2005-05-17,No
33850,SNA,2005-08-16,No
33851,SNA,2005-11-15,No
33852,SNA,2006-02-14,No
33853,SNA,2006-05-16,No
33854,SNA,2006-08-15,No
33855,SNA,2006-11-14,No
33856,SNA,2007-02-13,No
33857,SNA,2007-05-15,No
33858,SNA,2007-08-14,No
33859,SNA,2007-11-13,Sí
33860,SNA,2008-02-12,Sí
33861,SNA,2008-05-13,Sí
33862,SNA,2008-08-12,Sí
33863,SNA,2008-11-11,Sí
33864,SNA,2009-02-17,Sí
33865,SNA,2009-05-19,Sí
33866,SNA,2009-08-18,Sí
33867,SNA,2009-11-17,Sí
33868,SNA,2010-02-16,No
33869,SNA,2010-05-18,No
33870,SNA,2010-08-17,No
33871,SNA,2010-11-16,No
33872,SNA,2011-02-15,No
33873,SNA,2011-05-17,No
33874,SNA,2011-08-16,No
33875,SNA,2011-11-15,Sí
33876,SNA,2012-02-14,Sí
33877,SNA,2012-05-15,No
33878,SNA,2012-08-14,No
33879,SNA,2012-11-13,No
33880,SNA,2013-02-12,No
33881,SNA,2013-05-14,No
33882,SNA,2013-08-13,No
33883,SNA,2013-11-12,No
33884,SNA,2014-02-11,No
33885,SNA,2014-05-13,No
33886,SNA,2014-08-12,No
33887,SNA,2014-11-11,No
33888,SNA,2015-02-17,No
33889,SNA,2015-05-19,No
33890,SNA,2015-08-18,No
33891,SNA,2015-11-17,No
33892,SNA,2016-02-16,No
33893,SNA,2016-05-17,Sí
33894,SNA,2016-08-16,Sí
33895,SNA,2016-11-15,Sí
33896,SNA,2017-02-14,No
33897,SNA,2017-05-16,Sí
33898,SNA,2017-08-15,Sí
33899,SNA,2017-11-14,Sí
33900,SNA,2018-02-13,No
33901,SNA,2018-05-15,Sí
33902,SNA,2018-08-14,Sí
33903,SNA,2018-11-13,No
33904,SNA,2019-02-12,Sí
33905,SNA,2019-05-14,Sí
33906,SNA,2019-08-13,Sí
33907,SNA,2019-11-12,Sí
33908,SNA,2020-02-11,Sí
33909,SNA,2020-05-12,Sí
33910,SNA,2020-08-11,Sí
33911,SNA,2020-11-10,Sí
33912,SNA,2021-02-16,Sí
33913,SNA,2021-05-18,No
33914,SNA,2021-08-17,No
33915,SNA,2021-11-16,No
33916,SNA,2022-02-15,No
33917,SNA,2022-05-17,Sí
33918,SNA,2022-08-16,Sí
33919,SNA,2022-11-15,Sí
33920,SNPS,2000-03-16,No
33921,SNPS,2000-06-14,No
33922,SNPS,2000-09-14,No
33923,SNPS,2000-12-15,No
33924,SNPS,2001-03-17,No
33925,SNPS,2001-06-14,No
33926,SNPS,2001-09-14,No
33927,SNPS,2001-12-15,No
33928,SNPS,2002-03-17,No
33929,SNPS,2002-06-14,No
33930,SNPS,2002-09-14,No
33931,SNPS,2002-12-15,No
33932,SNPS,2003-03-17,No
33933,SNPS,2003-06-14,No
33934,SNPS,2003-09-14,No
33935,SNPS,2003-12-15,No
33936,SNPS,2004-03-16,No
33937,SNPS,2004-06-14,No
33938,SNPS,2004-09-14,No
33939,SNPS,2004-12-15,No
33940,SNPS,2005-03-17,No
